brand,model_year,mileage,fuel_type,transmission,engine_size,horsepower,body_type,color,num_cylinders,fuel_efficiency,mileage_category,owner_count,is_accident_free,has_service_history,age_years,price,price_per_hp,price_per_cc
Audi,2011,154455,Diesel,Semi-Automatic,2.5,437,Pickup,Black,12,38.5,Medium,3,0,1,13,20976.84180745751,48.001926332854715,8.390736722983004
Mercedes-Benz,2013,61709,LPG,Semi-Automatic,1.4,472,SUV,Silver,4,45.3,High,1,0,0,11,23321.062171532143,49.409030024432504,16.657901551094387
Chevrolet,2011,200857,LPG,Automatic,3.5,478,Pickup,Orange,4,24.8,Medium,2,0,1,13,6657.861453989143,13.928580447676032,1.9022461297111837
Chevrolet,2023,244325,Petrol,Semi-Automatic,2.8,100,Convertible,Brown,12,13.0,Low,3,0,1,1,23138.481711349712,231.38481711349712,8.263743468339182
BMW,2014,34518,LPG,Manual,4.1,387,SUV,Brown,12,48.3,High,3,0,1,10,32671.55979504712,84.42263512932072,7.9686731207432
Volkswagen,2018,53909,LPG,Manual,1.9,242,Sedan,Brown,12,27.4,Medium,1,0,1,6,32823.23371846463,135.63319718373813,17.275386167612965
Audi,2010,18351,LPG,Semi-Automatic,1.7,176,Wagon,Black,8,34.9,High,3,1,1,14,13542.098894576815,76.94374371918644,7.965940526221656
Honda,2014,200696,Diesel,Manual,2.6,386,Sedan,Silver,12,36.7,High,2,1,0,10,15172.513365178953,39.30702944346879,5.835582063530366
Chevrolet,2023,184402,Petrol,Manual,4.7,418,Convertible,Brown,12,31.9,High,3,0,1,1,58171.67602389655,139.1666890523841,12.376952345509904
Nissan,2018,15282,LPG,Automatic,3.8,134,Wagon,Silver,8,18.2,Low,2,1,0,6,32282.107862325865,240.91125270392436,8.495291542717332
Subaru,2010,215938,LPG,Semi-Automatic,2.7,412,Sedan,Orange,4,40.2,Low,1,1,1,14,5000.0,12.135922330097088,1.8518518518518519
Volkswagen,2018,239017,Diesel,Manual,3.1,206,Wagon,Brown,6,42.2,Medium,3,1,1,6,17694.027851285227,85.89333908390887,5.7077509197694285
Honda,2017,152850,Petrol,Semi-Automatic,1.3,272,Coupe,White,4,32.1,Low,2,0,1,7,26907.6093131091,98.9250342393717,20.698161010083922
Nissan,2013,155336,Electric,Automatic,4.9,322,Pickup,Red,6,29.5,High,1,1,0,11,36750.18481328165,114.13100873689955,7.500037716996256
Audi,2021,190747,Diesel,Semi-Automatic,3.7,428,SUV,Brown,6,14.6,High,2,0,1,3,99923.97162251547,233.4672234170922,27.006478816896074
Toyota,2020,5075,Petrol,Manual,2.1,167,Wagon,Silver,12,13.4,Low,3,1,1,4,27664.461928492765,165.65546064965727,13.173553299282268
Nissan,2019,207020,LPG,Semi-Automatic,3.3,415,Coupe,Red,12,23.6,High,3,1,0,5,27442.64161256915,66.12684725920278,8.315952003808833
Hyundai,2014,179526,Petrol,Manual,1.4,488,Pickup,Gray,8,22.4,Low,2,1,0,10,16499.42391126171,33.81029490012646,11.785302793758365
Volkswagen,2022,28365,Petrol,Manual,4.9,294,Pickup,Brown,4,48.1,High,1,0,0,2,68340.36856673355,232.45023322018216,13.947013993210929
Mazda,2014,203838,Petrol,Manual,1.7,171,Hatchback,Brown,4,41.3,Medium,1,0,1,10,8342.407759506568,48.78601028951209,4.907298682062687
Nissan,2020,179272,Electric,Automatic,3.6,382,Sedan,Green,6,36.4,Medium,1,0,1,4,30095.540664178556,78.78413786434177,8.359872406716265
Tesla,2021,11002,Petrol,Semi-Automatic,2.0,314,Hatchback,Red,12,30.7,Low,1,0,1,3,46491.0110134029,148.06054462867166,23.245505506701452
Toyota,2015,13947,Electric,Automatic,3.9,263,Convertible,Brown,12,16.7,Low,2,0,1,9,43465.043971432235,165.26632688757505,11.14488306959801
Kia,2016,210294,LPG,Semi-Automatic,4.1,117,Coupe,White,4,49.1,Low,3,0,0,8,15636.397094302762,133.6444196094253,3.8137553888543323
Kia,2017,94840,Electric,Automatic,3.7,218,Hatchback,Orange,8,25.0,Low,2,0,0,7,38186.306132774,175.1665418934587,10.320623279128109
Lexus,2023,116219,LPG,CVT,3.5,274,Hatchback,Red,12,14.3,Low,3,0,1,1,63154.356974076116,230.49035391998584,18.044101992593177
Hyundai,2017,78610,LPG,Manual,4.6,94,Pickup,Orange,8,29.8,High,3,0,0,7,10372.261576092491,110.3432082563031,2.254839473063585
Nissan,2020,52142,Electric,Manual,1.3,336,Coupe,Yellow,4,45.0,Medium,2,1,0,4,76198.79678960887,226.78213330240735,58.6144590689299
Nissan,2023,56307,Diesel,Automatic,2.3,214,Pickup,Silver,4,45.5,High,2,1,0,1,44461.73622902788,207.76512256555085,19.33118966479473
Lexus,2022,135565,Hybrid,CVT,2.0,80,SUV,Gray,8,10.4,Medium,1,0,1,2,86446.18814851069,1080.5773518563835,43.22309407425534
Subaru,2011,50085,Petrol,Manual,5.0,128,Wagon,Green,12,45.5,High,3,1,0,13,13859.056783348913,108.27388111991338,2.7718113566697826
Subaru,2018,34228,Hybrid,Semi-Automatic,2.6,175,Convertible,White,4,20.9,High,1,1,1,6,42150.60767162373,240.86061526642132,16.21177218139374
Lexus,2016,210748,Petrol,Automatic,3.9,280,Convertible,Gray,6,11.6,High,1,0,1,8,23352.114219488412,83.40040792674434,5.987721594740618
Subaru,2013,182947,Petrol,Manual,3.7,492,Sedan,Green,4,43.9,Low,2,0,1,11,7055.59644091636,14.340643172594227,1.9069179570044217
BMW,2013,162727,LPG,Manual,1.8,105,Pickup,Gray,12,44.6,Medium,1,1,0,11,11908.812625804258,113.41726310289769,6.616007014335699
Nissan,2020,43472,Petrol,Automatic,2.0,422,Wagon,Gray,6,33.8,Low,1,0,0,4,56567.77049973577,134.04684952544022,28.283885249867886
Ford,2017,49437,Petrol,Automatic,2.1,314,Sedan,Blue,4,33.0,Low,1,1,0,7,16856.59539976507,53.683424840016144,8.02695019036432
Mercedes-Benz,2013,180488,Electric,Semi-Automatic,2.6,428,Convertible,Silver,12,42.5,High,2,0,0,11,31655.658051966282,73.96181787842589,12.175253096910108
Tesla,2022,59711,Hybrid,Semi-Automatic,1.9,323,Wagon,Black,12,41.5,Medium,1,1,1,2,91173.02674008702,282.26943263184836,47.98580354741422
BMW,2015,137888,Electric,Manual,1.1,437,Hatchback,Green,4,45.6,Medium,1,0,1,9,54314.1697301379,124.2887179179357,49.376517936489
Audi,2014,77175,Petrol,Manual,4.5,406,SUV,White,12,32.1,Medium,2,1,1,10,31394.059736840314,77.32527028778402,6.976457719297848
BMW,2012,64307,LPG,Automatic,4.9,475,Hatchback,Red,8,48.7,Medium,2,1,0,12,17478.841203785443,36.797560429021985,3.567110449752131
Ford,2022,243800,Electric,Manual,2.4,430,SUV,Gray,6,49.8,Low,2,1,0,2,59855.38463417886,139.19856891669502,24.939743597574523
Audi,2023,46733,Electric,Manual,2.4,495,Pickup,Gray,8,14.7,Low,3,1,0,1,112862.10722577729,228.0042570217723,47.025878010740534
Tesla,2019,128202,Diesel,Automatic,1.0,453,Coupe,Green,4,44.0,Medium,2,0,1,5,59352.932620104155,131.0219263136957,59.352932620104156
Ford,2020,95028,Petrol,Manual,3.7,483,Sedan,Yellow,8,30.0,Low,3,1,1,4,42417.13780045714,87.820161077551,11.464091297420849
Honda,2011,247522,LPG,Manual,4.3,454,Sedan,Black,4,25.5,Medium,2,0,0,13,5000.0,11.013215859030836,1.1627906976744187
Mercedes-Benz,2018,142312,Electric,CVT,1.6,130,Coupe,Gray,4,34.5,Low,2,1,1,6,117027.69533166444,900.2130410128034,73.14230958229027
Tesla,2019,229306,Electric,Semi-Automatic,1.6,160,Wagon,Brown,12,12.2,High,2,0,1,5,52331.91895869638,327.07449349185237,32.70744934918523
Nissan,2018,92493,LPG,Automatic,4.2,115,Coupe,Blue,12,30.3,High,3,1,0,6,27215.123796119413,236.65325040103838,6.4797913800284315
Subaru,2010,125149,Petrol,CVT,3.5,146,Pickup,Orange,4,44.8,Medium,1,0,0,14,8295.930142853822,56.82143933461522,2.370265755101092
Honda,2019,229416,Diesel,Semi-Automatic,1.2,208,Convertible,Blue,6,18.5,Medium,2,1,1,5,37112.58547702736,178.42589171647768,30.927154564189465
Hyundai,2012,202435,Electric,Semi-Automatic,3.5,449,Coupe,Black,6,27.1,Low,3,1,0,12,17030.089637919635,37.92893015126867,4.865739896548467
Tesla,2017,163834,Diesel,Semi-Automatic,2.2,234,SUV,Brown,6,47.6,Medium,2,0,1,7,27630.72888576777,118.08003797336654,12.559422220803532
Hyundai,2015,8259,Hybrid,CVT,2.5,324,Convertible,Blue,8,27.1,Medium,1,1,0,9,25231.603308676666,77.87531885394033,10.092641323470666
Audi,2014,181211,Petrol,CVT,4.1,190,Coupe,Orange,4,24.3,Low,3,1,1,10,26036.44252427948,137.03390802252358,6.350351835190117
Honda,2014,128775,Hybrid,Semi-Automatic,4.2,247,Sedan,Red,12,27.6,Medium,2,1,0,10,23608.737873944305,95.58193471232512,5.621128065224834
Mercedes-Benz,2015,14849,Hybrid,Manual,2.6,221,Hatchback,Silver,8,30.8,Medium,2,1,0,9,69459.37353524497,314.29580785178723,26.71514366740191
Nissan,2016,81768,Hybrid,Manual,4.8,435,SUV,Red,8,35.3,High,2,0,0,8,33841.12527962392,77.79569029798603,7.050234433254984
Lexus,2010,106108,Petrol,CVT,2.6,276,Pickup,Silver,12,42.0,High,1,1,1,14,19101.605891117677,69.20871699680318,7.346771496583722
Nissan,2018,89709,Petrol,CVT,4.1,188,SUV,Yellow,4,28.1,High,3,0,1,6,17628.152262779626,93.76676735521077,4.299549332385275
Ford,2012,54869,LPG,CVT,2.9,455,Wagon,Yellow,8,42.7,Medium,2,0,0,12,21209.933304730053,46.615238032373746,7.313770105079329
Nissan,2013,126888,Diesel,Semi-Automatic,4.6,158,Hatchback,Yellow,4,31.3,Low,2,0,1,11,17314.13681098616,109.58314437333014,3.7639427849969915
Mazda,2019,63095,Diesel,Manual,4.6,469,SUV,Blue,4,23.5,High,3,0,1,5,32904.43306937187,70.15870590484408,7.1531376237764945
Chevrolet,2010,117886,LPG,CVT,1.3,240,Coupe,Yellow,4,36.3,Medium,1,1,0,14,8533.341876030927,35.55559115012886,6.564109135408406
Lexus,2022,70910,LPG,CVT,4.7,98,SUV,Silver,12,38.7,High,1,1,0,2,38655.457795869836,394.443446896631,8.224565488482943
BMW,2020,217782,Hybrid,Automatic,4.3,206,SUV,Red,4,32.3,Low,1,0,0,4,48627.94220240103,236.05797185631567,11.30882376800024
Subaru,2019,23567,LPG,Semi-Automatic,4.2,284,SUV,Green,8,12.3,Low,1,1,1,5,45699.73787724064,160.91456999028392,10.88088997077158
Toyota,2012,35292,Electric,Automatic,1.8,108,Wagon,Gray,12,16.8,Low,1,1,0,12,35218.11952102109,326.0936992687138,19.56562195612283
Mercedes-Benz,2011,74813,Diesel,Manual,4.2,286,SUV,Silver,12,21.4,Low,2,0,1,13,24542.937581388855,85.8144670677932,5.843556566997346
Honda,2011,97136,LPG,Automatic,4.4,359,SUV,Red,8,21.3,Low,2,0,1,13,11268.653382937735,31.389006637709567,2.5610575870313035
Chevrolet,2023,51631,Electric,Automatic,2.2,230,Wagon,Red,12,36.9,Low,2,0,1,1,77568.59404739861,337.25475672782005,35.25845183972664
Mercedes-Benz,2010,9885,Electric,Automatic,4.8,319,Convertible,Gray,8,10.7,Medium,3,1,0,14,87115.53603204092,273.0894546458963,18.149070006675192
Honda,2017,190731,Electric,Semi-Automatic,1.2,345,Hatchback,Brown,6,40.2,High,1,0,0,7,21931.51013568494,63.56959459618823,18.276258446404118
Subaru,2012,185378,Electric,Manual,1.6,261,Pickup,Green,8,20.6,Low,3,0,1,12,11304.120721948992,43.31080736378924,7.06507545121812
Volkswagen,2012,66314,Hybrid,Automatic,3.2,184,Convertible,Brown,12,22.4,High,1,1,1,12,18838.0064000054,102.38046956524674,5.886877000001688
Volkswagen,2015,65087,Electric,Semi-Automatic,3.3,480,Sedan,Brown,8,31.1,High,1,1,0,9,35763.757261919665,74.50782762899931,10.837502200581717
Hyundai,2022,160237,Hybrid,Manual,3.6,315,Wagon,Red,6,18.6,Medium,3,1,0,2,44652.470796489455,141.75387554441096,12.40346411013596
Mercedes-Benz,2017,190001,Hybrid,CVT,1.1,252,Wagon,Orange,4,45.4,Low,2,1,0,7,40503.45709523355,160.72800434616488,36.821324632030496
Volkswagen,2022,198100,Electric,Automatic,4.8,237,SUV,White,4,13.4,Low,3,1,0,2,55974.82070470442,236.1806780789216,11.661420980146755
Mazda,2018,95998,Diesel,Manual,1.2,251,SUV,Silver,4,27.8,Medium,2,1,0,6,30559.225191461956,121.74990116120301,25.466020992884964
Lexus,2018,49812,Electric,Automatic,1.6,390,Pickup,Blue,12,44.0,Medium,1,1,0,6,79574.348828789,204.03679186868976,49.73396801799313
Honda,2013,181572,Electric,CVT,1.1,482,Sedan,Brown,6,34.6,Medium,2,1,0,11,12088.65781401061,25.08020293363197,10.989688921827828
Hyundai,2023,210223,Electric,Manual,3.3,236,SUV,Yellow,8,21.7,Medium,1,0,0,1,56667.64951321623,240.11715895430606,17.17201500400492
Nissan,2014,58643,Diesel,Semi-Automatic,4.7,337,Coupe,Blue,8,26.8,Medium,1,1,0,10,29901.28849631929,88.72785903952311,6.361976275812615
Honda,2011,44900,Petrol,Manual,3.7,243,SUV,Black,8,38.3,High,2,0,1,13,16379.186021742618,67.40405770264452,4.42680703290341
Hyundai,2020,174018,Petrol,Semi-Automatic,4.3,226,SUV,Orange,8,48.9,Medium,1,1,0,4,28845.755665915385,127.63608701732471,6.708315271143113
Subaru,2018,138923,Hybrid,Manual,1.1,470,Coupe,Blue,12,45.7,Low,2,1,0,6,58151.57375810421,123.72675267681747,52.86506705282201
Mercedes-Benz,2017,16288,Hybrid,Semi-Automatic,3.2,233,Sedan,Gray,12,23.7,Low,3,0,1,7,65697.21745295783,281.96230666505505,20.53038045404932
Subaru,2012,72692,Diesel,CVT,2.8,446,Coupe,White,6,49.9,Medium,1,1,0,12,22124.790462243724,49.60715350278862,7.901710879372758
Lexus,2020,198652,LPG,CVT,3.0,117,Wagon,Green,8,10.1,Medium,1,0,0,4,27368.086857351456,233.91527228505518,9.122695619117152
Lexus,2021,138440,Petrol,CVT,1.3,210,Coupe,Gray,4,11.1,Medium,3,1,1,3,48680.35455778064,231.8112121799078,37.44642658290819
Chevrolet,2022,85436,Hybrid,Manual,3.7,437,Hatchback,Brown,12,43.0,Medium,1,0,0,2,34688.53136618751,79.37879031164191,9.375278747618246
Subaru,2018,227208,Petrol,CVT,3.0,334,Wagon,Orange,6,18.0,Medium,3,0,1,6,28892.133865117787,86.50339480574188,9.630711288372595
Ford,2012,46403,Diesel,Automatic,4.1,287,SUV,Orange,6,12.4,Low,3,1,1,12,31751.634682352433,110.63287345767398,7.744301142037179
Nissan,2018,91170,Diesel,CVT,2.9,174,Pickup,Brown,12,19.5,High,1,0,0,6,21888.864878716264,125.79807401561071,7.547884440936643
Tesla,2011,9168,LPG,Semi-Automatic,1.6,427,Wagon,White,4,27.0,Medium,3,0,1,13,21919.237540217862,51.33310899348446,13.699523462636163
Subaru,2021,217569,LPG,Semi-Automatic,3.6,406,Sedan,Red,4,39.2,Medium,3,1,1,3,15443.066126870177,38.03710868687236,4.289740590797272
Chevrolet,2019,49879,Diesel,Semi-Automatic,1.7,250,Sedan,Blue,8,35.0,Medium,3,1,1,5,46876.55418347397,187.50621673389588,27.57444363733763
Audi,2018,59871,Hybrid,Manual,4.5,329,Coupe,Yellow,12,19.5,Low,1,0,1,6,73736.2317195953,224.12228486199177,16.385829271021176
Mazda,2017,240704,Petrol,Automatic,3.5,269,Wagon,Brown,4,30.1,Low,3,1,0,7,15580.186855671429,57.91891024413171,4.4514819587632655
Honda,2018,242695,Electric,CVT,1.6,278,SUV,Yellow,12,47.0,High,2,0,1,6,36437.62797286701,131.0706042189461,22.773517483041882
Lexus,2014,220460,LPG,Automatic,4.8,300,Sedan,Blue,6,42.6,High,2,0,1,10,14571.559617771274,48.57186539257091,3.035741587035682
Audi,2020,229718,Electric,Automatic,3.1,103,Convertible,White,6,22.9,High,3,0,0,4,88354.78967865765,857.8134920258024,28.5015450576315
Chevrolet,2020,32174,Hybrid,Semi-Automatic,1.3,323,SUV,Red,6,49.3,High,2,1,1,4,58865.08157342322,182.24483459264152,45.28083197955632
Hyundai,2011,230823,LPG,Semi-Automatic,3.5,403,Convertible,Green,12,38.3,Low,1,1,0,13,11824.255494452069,29.34058435347908,3.378358712700591
Tesla,2017,223563,Electric,Semi-Automatic,2.0,207,Hatchback,White,8,12.5,High,3,0,1,7,32129.98448277682,155.217316341917,16.06499224138841
Nissan,2021,137653,Hybrid,Manual,4.2,172,Convertible,Yellow,8,11.4,Medium,1,0,0,3,38318.4983881485,222.78196737295642,9.123451997178215
Nissan,2015,110155,Petrol,Automatic,4.3,379,Sedan,Orange,4,16.7,Low,2,0,1,9,27962.599420485312,73.77994570048895,6.502930097787282
Nissan,2017,71853,Hybrid,Automatic,4.9,212,Coupe,Orange,12,39.1,Low,2,1,0,7,44012.80281500184,207.60756044812192,8.982204656122825
Mazda,2020,64046,LPG,Manual,3.0,134,Hatchback,Black,8,17.3,Low,2,0,1,4,18441.48946663174,137.6230557211324,6.147163155543914
Tesla,2014,49678,Diesel,Manual,2.8,237,Wagon,Silver,12,30.5,Medium,2,1,0,10,26351.908941043417,111.18948920271484,9.411396050372648
Mazda,2019,239464,Petrol,Manual,4.0,108,SUV,Gray,8,13.7,Low,1,0,0,5,8783.68192710674,81.3303882139513,2.195920481776685
Lexus,2011,242322,Electric,Automatic,1.5,489,Sedan,Gray,6,46.8,Medium,3,0,0,13,20612.091412973077,42.151516181949034,13.741394275315384
Mazda,2015,26649,LPG,Automatic,3.2,290,Hatchback,Brown,6,23.8,High,1,0,0,9,15370.625705565024,53.00215760539663,4.80332053298907
Toyota,2014,127795,Diesel,Semi-Automatic,3.2,233,Hatchback,Yellow,4,46.3,Low,3,0,0,10,17398.0977510641,74.66994742945965,5.436905547207531
Tesla,2021,88668,Hybrid,Semi-Automatic,1.4,372,Sedan,Gray,6,47.8,Medium,2,1,1,3,78318.57795077548,210.533811695633,55.94184139341105
Ford,2022,213397,Diesel,Automatic,2.7,301,Wagon,Gray,8,10.2,Low,2,1,1,2,36959.491499494994,122.78900830397008,13.688700555368516
Tesla,2021,145639,LPG,Semi-Automatic,4.4,194,Wagon,White,4,28.6,High,2,1,0,3,66426.54601854473,342.40487638425117,15.096942276941984
Chevrolet,2014,211476,LPG,Manual,4.4,237,Coupe,Green,4,11.0,Low,2,1,0,10,12943.72578672466,54.61487673723486,2.941755860619241
Toyota,2022,89906,Diesel,CVT,1.4,338,Pickup,Yellow,6,46.3,High,1,1,1,2,77077.38575722552,228.03960283202818,55.05527554087537
Nissan,2010,239141,Hybrid,Semi-Automatic,1.4,330,Convertible,Black,12,30.7,Low,3,0,1,14,13349.401287797264,40.45273117514322,9.535286634140903
Chevrolet,2011,96019,Diesel,Automatic,2.1,201,Wagon,Green,6,13.0,Medium,3,1,0,13,10406.847210393542,51.77535925568926,4.95564152875883
Chevrolet,2017,193016,LPG,Semi-Automatic,4.5,378,Coupe,Black,6,14.4,High,2,1,1,7,25747.65081213322,68.11547833897677,5.721700180474048
Lexus,2022,249500,LPG,Semi-Automatic,1.5,342,Convertible,Yellow,4,25.3,Low,1,1,0,2,26871.56584285395,78.57182994986535,17.9143772285693
Kia,2023,78002,Electric,Semi-Automatic,3.9,460,Hatchback,Red,6,47.6,High,2,1,0,1,45533.20407355425,98.98522624685705,11.675180531680576
BMW,2022,28803,Electric,CVT,1.4,128,Sedan,Red,8,37.7,High,3,0,0,2,69868.23152838243,545.8455588154877,49.90587966313031
Toyota,2012,149302,Petrol,Manual,3.5,456,Wagon,Gray,4,44.7,Medium,3,0,1,12,12776.593471650485,28.018845332566855,3.6504552776144243
Chevrolet,2019,148934,LPG,Automatic,2.4,408,Coupe,Brown,6,24.7,Medium,1,0,0,5,21058.223761656653,51.61329353347219,8.774259900690272
BMW,2012,174427,Electric,CVT,4.2,376,Hatchback,Orange,12,11.7,Medium,3,1,1,12,21757.01133268316,57.86439184224245,5.18024079349599
BMW,2017,162331,Diesel,Automatic,1.9,441,Wagon,White,8,49.0,Medium,1,0,1,7,39724.178859958636,90.07750308380643,20.907462557872968
Toyota,2017,230147,Hybrid,Automatic,3.6,156,SUV,Gray,12,10.7,High,2,0,1,7,9137.53420660616,58.57393722183436,2.5382039462794888
Kia,2011,218517,Diesel,Automatic,1.9,206,Pickup,Silver,8,47.9,High,2,1,1,13,5167.509424621847,25.08499720690217,2.719741802432551
Audi,2017,30795,Hybrid,CVT,3.9,276,Hatchback,Red,12,24.7,Low,1,1,0,7,46704.33033252073,169.218588161307,11.975469316030956
Hyundai,2020,245676,Electric,Manual,4.5,300,Wagon,Gray,6,10.4,Low,2,1,0,4,16249.368272170148,54.16456090723383,3.610970727148922
Ford,2022,8770,Petrol,Automatic,1.5,170,Hatchback,Orange,8,37.6,Low,1,0,1,2,26311.215708098043,154.77185710645907,17.540810472065363
Hyundai,2022,11093,Diesel,Manual,4.5,490,Sedan,Black,4,49.2,Medium,2,1,0,2,25202.362602938072,51.43339306722056,5.600525022875127
Tesla,2010,177643,Diesel,Manual,3.4,87,Sedan,Black,4,48.6,High,2,0,1,14,18287.81915960833,210.20481792653254,5.378770341061274
Nissan,2015,131265,Diesel,Semi-Automatic,1.5,111,Pickup,Blue,12,16.4,High,3,0,0,9,19599.94918837937,176.57611881422858,13.066632792252914
Ford,2017,100311,Hybrid,CVT,2.7,399,Sedan,White,12,17.2,Low,3,0,0,7,31323.537531248563,78.50510659460792,11.601310196758726
Tesla,2012,17569,Electric,CVT,1.6,473,Convertible,Brown,12,32.6,Low,1,0,0,12,92004.97277923595,194.51368452269756,57.50310798702247
Chevrolet,2017,248154,Diesel,Semi-Automatic,3.8,348,SUV,Black,8,35.5,High,2,0,0,7,9938.68576518841,28.559441853989682,2.6154436224180024
Nissan,2021,11190,Diesel,Semi-Automatic,4.0,270,Sedan,Blue,4,39.6,Medium,2,1,0,3,36182.900202912206,134.01074149226744,9.045725050728052
Honda,2010,62824,Petrol,Manual,1.4,428,SUV,Red,6,17.2,Low,2,0,0,14,16158.614282181712,37.753771687340446,11.54186734441551
Toyota,2020,173824,Petrol,Automatic,3.0,242,Sedan,Black,8,48.4,Low,3,0,1,4,25805.2153484208,106.6331212744661,8.601738449473599
Ford,2020,163399,Electric,CVT,4.3,140,Convertible,Brown,12,35.5,High,1,0,0,4,84584.0495418181,604.1717824415579,19.67070919577165
Ford,2018,42070,Electric,Automatic,4.7,343,Hatchback,Gray,4,43.9,High,1,0,0,6,73149.92423013442,213.26508521905077,15.563813665986046
Subaru,2022,216997,LPG,Automatic,3.1,364,Wagon,Orange,12,31.6,Low,1,0,0,2,22146.69674175931,60.84257346637173,7.1440957231481645
Chevrolet,2020,40197,Petrol,Semi-Automatic,4.8,174,Wagon,Silver,6,26.6,Low,2,1,1,4,54681.667484586156,314.26245680796643,11.392014059288783
Audi,2022,2261,LPG,Automatic,3.1,120,Sedan,Black,6,49.1,Medium,1,0,0,2,111963.71354209236,933.030946184103,36.117326949062054
BMW,2018,249496,Hybrid,Manual,2.6,493,Wagon,Silver,4,33.3,Medium,3,0,0,6,30794.75975583265,62.46401573191206,11.844138367627941
Nissan,2014,224977,LPG,Semi-Automatic,4.4,228,Sedan,Silver,8,44.7,Medium,3,0,0,10,13773.578951653639,60.41043399848087,3.130358852648554
Chevrolet,2019,157584,Diesel,Automatic,3.0,283,Sedan,Silver,6,48.1,Medium,1,0,1,5,14369.188036674634,50.774516030652414,4.789729345558211
Volkswagen,2013,137788,LPG,Semi-Automatic,2.9,346,Pickup,Green,6,37.0,Low,2,1,0,11,20424.286331919866,59.029729283005395,7.042857355834436
Kia,2020,86795,Electric,Manual,3.0,81,Coupe,Silver,6,32.0,Low,3,0,1,4,30558.433956610595,377.26461674827897,10.186144652203533
BMW,2015,28933,Hybrid,Manual,4.4,257,Coupe,Green,6,10.1,Low,3,0,1,9,34819.88291233465,135.4859257289286,7.91360975280333
Toyota,2021,238297,Diesel,Automatic,4.3,273,Pickup,Orange,12,11.6,Medium,2,0,0,3,28351.312462169062,103.85096139988667,6.5933284795742
BMW,2016,135450,LPG,Semi-Automatic,2.6,466,Coupe,Silver,12,18.0,Low,2,0,0,8,34399.48588023447,73.81863922797096,13.230571492397873
Audi,2014,40583,Hybrid,Automatic,2.3,415,SUV,Blue,8,17.4,High,1,1,1,10,76094.51141402926,183.36026846754038,33.08457018001272
Lexus,2020,112082,Hybrid,Automatic,3.0,275,Coupe,Silver,4,20.2,Medium,3,1,1,4,77109.82110244513,280.39934946343686,25.703273700815043
Subaru,2022,85371,Diesel,Semi-Automatic,3.3,422,Sedan,Yellow,4,22.2,High,3,1,0,2,41881.30262803533,99.2447929574297,12.691303826677373
BMW,2019,160105,LPG,Automatic,2.0,328,Convertible,White,4,24.4,Medium,1,0,0,5,43870.13622622662,133.75041532386163,21.93506811311331
Toyota,2018,155072,Hybrid,Manual,4.2,291,Convertible,Blue,6,26.8,Low,1,1,1,6,39738.980263407,136.56006963370103,9.461661967477857
